Iteration,"H_l(0.0,0.0,0.995,0.01,0.8) score","H_l(0.0,0.0,0.995,0.01,0.8) interval","DDQ_l(0.0005,0.91,4,1.000,500,256,176,0,0,3,0.485,195,1.000,2) score","DDQ_l(0.0005,0.91,4,1.000,500,256,176,0,0,3,0.485,195,1.000,2) interval","DQ_l(0.0005,0.91,4,1.000,500,128,224,0,0,3,1.000,2) score","DQ_l(0.0005,0.91,4,1.000,500,128,224,0,0,3,1.000,2) interval","PPO(50,80,80,0.99,0.0003,0.001,0.97,0.2,0.01,{}) score","PPO(50,80,80,0.99,0.0003,0.001,0.97,0.2,0.01,{}) interval","Q_l(0.0,0.5,0.5,0.005,0.95) score","Q_l(0.0,0.5,0.5,0.005,0.95) interval","VPG(50,80, 0.99,0.0003,0.001,0.97,{}) score","VPG(50,80, 0.99,0.0003,0.001,0.97,{}) interval",Freq(0.07) score,Freq(0.07) interval
1000,50.1,0.7,41.9,0.5,42.1,0.5,28.3,0.3,46.5,0.7,0.0,0.0,47.0,0.7
2000,55.8,0.7,53.3,0.5,53.0,0.5,39.3,0.3,47.8,0.7,0.0,0.0,48.8,0.6
3000,58.4,0.7,57.3,0.6,56.9,0.6,45.2,0.4,48.9,0.7,11.3,0.1,49.7,0.6
4000,60.0,0.7,59.3,0.6,58.9,0.6,49.1,0.4,50.0,0.7,14.9,0.2,50.5,0.6
5000,61.0,0.6,60.6,0.6,60.1,0.6,51.6,0.4,51.1,0.7,18.3,0.2,51.0,0.6
6000,61.7,0.6,61.4,0.6,60.9,0.6,53.4,0.4,52.1,0.7,21.4,0.2,51.5,0.6
7000,62.3,0.6,62.0,0.6,61.5,0.6,54.7,0.4,53.1,0.7,24.1,0.2,51.9,0.6
8000,62.7,0.6,62.5,0.6,62.0,0.6,55.7,0.4,53.9,0.7,26.5,0.2,52.2,0.6
9000,63.1,0.6,62.8,0.6,62.4,0.6,56.6,0.4,54.6,0.7,28.8,0.2,52.5,0.6
10000,63.3,0.6,63.1,0.6,62.6,0.6,57.0,0.4,55.3,0.7,30.9,0.3,52.7,0.6
11000,63.6,0.6,63.3,0.6,62.9,0.6,57.5,0.4,55.9,0.7,32.8,0.3,53.0,0.6
12000,63.8,0.6,63.5,0.6,63.1,0.6,58.0,0.4,56.4,0.7,34.6,0.3,53.2,0.6
13000,63.9,0.6,63.7,0.6,63.2,0.6,58.4,0.4,56.9,0.7,36.1,0.3,53.4,0.6
14000,64.1,0.6,63.8,0.6,63.4,0.6,58.7,0.4,57.4,0.7,37.6,0.3,53.5,0.6
15000,64.2,0.6,63.9,0.6,63.5,0.6,59.0,0.4,57.8,0.7,39.0,0.3,53.7,0.6
16000,64.3,0.6,64.0,0.6,63.6,0.6,59.3,0.4,58.1,0.7,40.2,0.3,53.9,0.6
17000,64.4,0.6,64.1,0.6,63.7,0.6,59.6,0.4,58.5,0.7,41.4,0.3,54.0,0.6
18000,64.5,0.6,64.2,0.6,63.8,0.6,59.8,0.4,58.8,0.7,42.5,0.3,54.1,0.6
19000,64.5,0.6,64.3,0.6,63.9,0.6,60.0,0.4,59.1,0.7,43.5,0.3,54.3,0.6
20000,64.6,0.6,64.4,0.6,64.0,0.6,60.2,0.4,59.3,0.7,44.4,0.3,54.4,0.6
21000,64.7,0.6,64.4,0.6,64.1,0.6,60.4,0.4,59.6,0.7,45.3,0.3,54.5,0.6
22000,64.7,0.6,64.5,0.6,64.1,0.6,60.6,0.4,59.8,0.7,46.1,0.3,54.6,0.6
23000,64.8,0.6,64.6,0.6,64.2,0.6,60.8,0.4,60.0,0.7,46.8,0.4,54.7,0.6
24000,64.8,0.6,64.6,0.6,64.2,0.6,61.0,0.4,60.2,0.7,47.5,0.4,54.8,0.6
25000,64.9,0.6,64.6,0.6,64.3,0.6,61.1,0.4,60.4,0.7,48.2,0.4,54.8,0.6
26000,64.9,0.6,64.7,0.6,64.3,0.6,61.3,0.4,60.6,0.7,48.8,0.4,54.9,0.6
27000,65.0,0.6,64.7,0.6,64.4,0.6,61.4,0.4,60.7,0.7,49.4,0.4,55.0,0.6
28000,65.0,0.6,64.8,0.6,64.4,0.6,61.5,0.4,60.9,0.7,49.9,0.4,55.1,0.6
29000,65.1,0.6,64.8,0.6,64.5,0.6,61.6,0.4,61.0,0.7,50.4,0.4,55.1,0.6
30000,65.1,0.6,64.8,0.6,64.5,0.6,61.7,0.4,61.1,0.7,50.9,0.4,55.2,0.6
31000,65.1,0.6,64.9,0.6,64.5,0.6,61.9,0.4,61.3,0.7,51.4,0.4,55.3,0.6
32000,65.2,0.6,64.9,0.6,64.6,0.6,62.0,0.4,61.4,0.7,51.8,0.4,55.3,0.6
33000,65.2,0.6,64.9,0.6,64.6,0.6,62.1,0.4,61.5,0.7,52.2,0.4,55.4,0.6
34000,65.2,0.6,65.0,0.6,64.6,0.6,62.2,0.4,61.6,0.7,52.6,0.4,55.5,0.6
35000,65.2,0.6,65.0,0.6,64.7,0.6,62.3,0.4,61.7,0.7,53.0,0.4,55.5,0.6
36000,65.3,0.6,65.0,0.6,64.7,0.6,62.3,0.4,61.8,0.7,53.4,0.4,55.6,0.6
37000,65.3,0.6,65.0,0.6,64.7,0.6,62.4,0.4,61.9,0.7,53.7,0.4,55.6,0.6
38000,65.3,0.6,65.0,0.6,64.7,0.6,62.5,0.4,62.0,0.7,54.0,0.4,55.7,0.6
39000,65.3,0.6,65.1,0.6,64.7,0.6,62.6,0.4,62.1,0.7,54.3,0.4,55.7,0.6
40000,65.4,0.6,65.1,0.6,64.8,0.6,62.7,0.4,62.1,0.7,54.6,0.4,55.8,0.6
41000,65.4,0.6,65.1,0.6,64.8,0.6,62.7,0.4,62.2,0.7,54.9,0.4,55.8,0.6
42000,65.4,0.6,65.1,0.6,64.8,0.6,62.8,0.4,62.3,0.7,55.2,0.4,55.8,0.6
43000,65.4,0.6,65.1,0.6,64.8,0.6,62.9,0.4,62.3,0.7,55.5,0.4,55.9,0.6
44000,65.4,0.6,65.2,0.6,64.8,0.6,62.9,0.4,62.4,0.7,55.7,0.4,55.9,0.6
45000,65.5,0.6,65.2,0.6,64.9,0.6,63.0,0.4,62.5,0.7,56.0,0.4,56.0,0.6
46000,65.5,0.6,65.2,0.6,64.9,0.6,63.0,0.4,62.5,0.7,56.2,0.4,56.0,0.6
47000,65.5,0.6,65.2,0.6,64.9,0.6,63.1,0.4,62.6,0.7,56.4,0.4,56.1,0.6
48000,65.5,0.6,65.2,0.6,64.9,0.6,63.2,0.4,62.7,0.7,56.6,0.4,56.1,0.6
49000,65.5,0.6,65.2,0.6,64.9,0.6,63.2,0.4,62.7,0.7,56.8,0.4,56.1,0.6
50000,65.5,0.6,65.2,0.6,64.9,0.6,63.3,0.4,62.8,0.7,57.0,0.4,56.2,0.6
51000,65.5,0.6,65.2,0.6,65.0,0.6,63.3,0.4,62.8,0.7,57.2,0.4,56.2,0.6
52000,65.6,0.6,65.3,0.6,65.0,0.6,63.3,0.4,62.8,0.7,57.4,0.4,56.3,0.6
53000,65.6,0.6,65.3,0.6,65.0,0.6,63.4,0.4,62.9,0.7,57.6,0.4,56.3,0.6
54000,65.6,0.6,65.3,0.6,65.0,0.6,63.4,0.4,62.9,0.7,57.8,0.4,56.3,0.6
55000,65.6,0.6,65.3,0.6,65.0,0.6,63.5,0.4,62.9,0.7,57.9,0.4,56.3,0.6
56000,65.6,0.6,65.3,0.6,65.0,0.6,63.5,0.4,63.0,0.7,58.1,0.4,56.4,0.6
57000,65.6,0.6,65.3,0.6,65.0,0.6,63.5,0.4,63.0,0.7,58.3,0.4,56.4,0.6
58000,65.6,0.6,65.3,0.6,65.0,0.6,63.6,0.4,63.0,0.7,58.4,0.4,56.4,0.6
59000,65.6,0.6,65.3,0.6,65.0,0.6,63.6,0.4,63.1,0.7,58.6,0.4,56.5,0.6
60000,65.6,0.6,65.3,0.6,65.0,0.6,63.6,0.4,63.1,0.7,58.7,0.4,56.5,0.6
61000,65.7,0.6,65.3,0.6,65.1,0.6,63.7,0.4,63.1,0.7,58.8,0.4,56.5,0.6
62000,65.7,0.6,65.3,0.6,65.1,0.6,63.7,0.4,63.1,0.7,59.0,0.4,56.5,0.6
63000,65.7,0.6,65.3,0.6,65.1,0.6,63.7,0.4,63.2,0.7,59.1,0.4,56.6,0.6
64000,65.7,0.6,65.3,0.6,65.1,0.6,63.8,0.4,63.2,0.7,59.2,0.4,56.6,0.6
65000,65.7,0.6,65.4,0.6,65.1,0.6,63.8,0.4,63.2,0.7,59.3,0.4,56.6,0.6
66000,65.7,0.6,65.4,0.6,65.1,0.6,63.8,0.4,63.3,0.7,59.5,0.4,56.6,0.6
67000,65.7,0.6,65.4,0.6,65.1,0.6,63.9,0.4,63.3,0.7,59.6,0.4,56.7,0.6
68000,65.7,0.6,65.4,0.6,65.1,0.6,63.9,0.4,63.3,0.7,59.7,0.4,56.7,0.6
69000,65.7,0.6,65.4,0.6,65.1,0.6,63.9,0.4,63.3,0.7,59.8,0.4,56.7,0.6
70000,65.7,0.6,65.4,0.6,65.1,0.6,64.0,0.4,63.4,0.7,59.9,0.4,56.7,0.6
71000,65.7,0.6,65.4,0.6,65.1,0.6,64.0,0.4,63.4,0.7,60.0,0.4,56.7,0.6
72000,65.7,0.6,65.4,0.6,65.1,0.6,64.0,0.4,63.4,0.7,60.1,0.4,56.8,0.6
73000,65.7,0.6,65.4,0.6,65.1,0.6,64.0,0.4,63.4,0.7,60.2,0.4,56.8,0.6
74000,65.8,0.6,65.4,0.6,65.2,0.6,64.1,0.4,63.4,0.7,60.3,0.4,56.8,0.6
75000,65.8,0.6,65.4,0.6,65.2,0.6,64.1,0.4,63.5,0.7,60.4,0.4,56.8,0.6
76000,65.8,0.6,65.4,0.6,65.2,0.6,64.1,0.4,63.5,0.7,60.5,0.4,56.8,0.6
77000,65.8,0.6,65.4,0.6,65.2,0.6,64.1,0.4,63.5,0.7,60.6,0.4,56.9,0.6
78000,65.8,0.6,65.4,0.6,65.2,0.6,64.2,0.4,63.5,0.7,60.7,0.4,56.9,0.6
79000,65.8,0.6,65.4,0.6,65.2,0.6,64.2,0.4,63.5,0.7,60.8,0.4,56.9,0.6
80000,65.8,0.6,65.4,0.6,65.2,0.6,64.2,0.4,63.6,0.7,60.8,0.4,56.9,0.6
81000,65.8,0.6,65.4,0.6,65.2,0.6,64.2,0.4,63.6,0.7,60.9,0.4,56.9,0.6
82000,65.8,0.6,65.4,0.6,65.2,0.6,64.2,0.4,63.6,0.7,61.0,0.4,56.9,0.6
83000,65.8,0.6,65.4,0.6,65.2,0.6,64.3,0.4,63.6,0.7,61.1,0.4,57.0,0.6
84000,65.8,0.6,65.4,0.6,65.2,0.6,64.3,0.4,63.6,0.7,61.1,0.4,57.0,0.6
85000,65.8,0.6,65.4,0.6,65.2,0.6,64.3,0.4,63.6,0.7,61.2,0.4,57.0,0.6
86000,65.8,0.6,65.4,0.6,65.2,0.6,64.3,0.4,63.7,0.7,61.3,0.4,57.0,0.6
87000,65.8,0.6,65.4,0.6,65.2,0.6,64.4,0.4,63.7,0.7,61.4,0.4,57.0,0.6
88000,65.8,0.6,65.4,0.6,65.2,0.6,64.4,0.4,63.7,0.7,61.4,0.4,57.0,0.6
89000,65.8,0.6,65.4,0.6,65.2,0.6,64.4,0.4,63.7,0.7,61.5,0.4,57.0,0.6
90000,65.8,0.6,65.4,0.6,65.2,0.6,64.4,0.4,63.7,0.7,61.6,0.4,57.1,0.6
91000,65.8,0.6,65.4,0.6,65.2,0.6,64.4,0.4,63.7,0.7,61.6,0.4,57.1,0.6
92000,65.8,0.6,65.5,0.6,65.2,0.6,64.4,0.4,63.7,0.7,61.7,0.4,57.1,0.6
93000,65.8,0.6,65.5,0.6,65.2,0.6,64.5,0.4,63.8,0.7,61.8,0.4,57.1,0.6
94000,65.8,0.6,65.5,0.6,65.2,0.6,64.5,0.4,63.8,0.7,61.8,0.4,57.1,0.6
95000,65.8,0.6,65.5,0.6,65.2,0.6,64.5,0.4,63.8,0.7,61.9,0.4,57.1,0.6
96000,65.9,0.6,65.5,0.6,65.2,0.6,64.5,0.4,63.8,0.7,61.9,0.4,57.1,0.6
97000,65.9,0.6,65.5,0.6,65.3,0.6,64.5,0.4,63.8,0.7,62.0,0.4,57.2,0.6
98000,65.9,0.6,65.5,0.6,65.3,0.6,64.5,0.4,63.8,0.7,62.1,0.4,57.2,0.6
99000,65.9,0.6,65.5,0.6,65.3,0.6,64.6,0.4,63.9,0.7,62.1,0.4,57.2,0.6
100000,65.9,0.6,65.5,0.6,65.3,0.6,64.6,0.4,63.9,0.7,62.2,0.4,57.2,0.6
